List of Countries ISO
Country,ISO
Afghanistan,4
Albania,8
Algeria,12
American Samoa,16
Andorra,20
Angola,24
Antigua and Barbuda,28
Azerbaijan,31
Argentina,32
Australia,36
Austria,40
Bahamas,44
Bahrain,48
Bangladesh,50
Armenia,51
Barbados,52
Belgium,56
Bermuda,60
Bhutan,64
Bolivia,68
Bosnia and Herzegovina,70
Botswana,72
Brazil,76
Belize,84
"Virgin Islands, British",92
Brunei Darussalam,96
Bulgaria,100
Myanmar,104
Burundi,108
Belarus,112
Cambodia,116
Cameroon,120
Canada,124
Cape Verde,132
Cayman Islands,136
Sri Lanka,144
Chile,152
China,156
Taiwan,158
Colombia,170
Comoros,174
Congo,178
"Congo, the Democratic Republic of the",180
Costa Rica,188
Croatia,191
Cuba,192
Cyprus,196
Czech Republic,203
Benin,204
Denmark,208
Dominica,212
Dominican Republic,214
Ecuador,218
El Salvador,222
Equatorial Guinea,226
Ethiopia,231
Estonia,233
Fiji,242
Finland,246
France,250
French Polynesia,258
Gabon,266
Georgia,268
Gambia,270
Germany,276
Ghana,288
Gibraltar,292
Greece,300
Greenland,304
Grenada,308
Guatemala,320
Guinea,324
Guyana,328
Honduras,340
Hong Kong,344
Hungary,348
Iceland,352
India,356
Indonesia,360
Iran,364
Iraq,368
Ireland,372
Israel,376
Italy,380
Côte d'Ivoire,384
Jamaica,388
Japan,392
Kazakhstan,398
Jordan,400
Kenya,404
"Korea, Republic of (South Korea)",410
Kuwait,414
Lao People's Democratic Republic,418
Lebanon,422
Lesotho,426
Latvia,428
Liberia,430
Libyan Arab Jamahiriya,434
Lithuania,440
Luxembourg,442
Macao,446
Madagascar,450
Malawi,454
Malaysia,458
Maldives,462
Mali,466
Malta,470
Mauritius,480
Mexico,484
Mongolia,496
"Moldova, Republic of",498
Morocco,504
Mozambique,508
Oman,512
Namibia,516
Nepal,524
Netherlands,528
Aruba,533
New Caledonia,540
New Zealand,554
Nicaragua,558
Niger,562
Nigeria,566
Norway,578
Marshall Islands,584
Pakistan,586
Panama,591
Papua New Guinea,598
Paraguay,600
Peru,604
Philippines,608
Poland,616
Portugal,620
Qatar,634
Romania,642
Russia,643
Rwanda,646
San Marino,674
Saudi Arabia,682
Senegal,686
Seychelles,690
Sierra Leone,694
Singapore,702
Slovakia,703
Vietnam,704
Slovenia,705
Somalia,706
South Africa,710
Zimbabwe,716
Spain,724
Suriname,740
Sweden,752
Switzerland,756
Syrian Arab Republic,760
Tajikistan,762
Thailand,764
Togo,768
Tokelau,772
Tonga,776
Trinidad and Tobago,780
United Arab Emirates,784
Tunisia,788
Turkey,792
Uganda,800
Ukraine,804
"Macedonia, the former Yugoslav Republic of",807
Egypt,818
United Kingdom,826
"Tanzania, United Republic of",834
United States Of America,840
Burkina Faso,854
Uruguay,858
Venezuela,862
Samoa,882
Yemen,887
Zambia,894
Total of176
